,player_id,name_common,year_id,age,team_id,G,Min,MPG,FT%
1725,grahatr01,Treveon Graham,2018,24,CHA,63,1050,16.7,69.5
1726,monkma01,Malik Monk,2018,19,CHA,63,854,13.6,84.2
1727,cartemi01,Michael Carter-Williams,2018,26,CHA,52,835,16.1,82.0
1728,bacondw01,Dwayne Bacon,2018,22,CHA,53,713,13.5,80.0
1729,zelleco01,Cody Zeller,2018,25,CHA,33,627,19.0,71.8
1730,obryajo01,Johnny O'Bryant III,2018,24,CHA,36,379,10.5,84.0
1731,hernawi01,Willy Hernangomez,2018,23,CHA,22,262,11.9,75.8
1732,stoneju01,Julyan Stone,2018,29,CHA,23,175,7.6,50.0
1733,paigema01,Marcus Paige,2018,24,CHA,5,28,5.6,100.0
1734,mathima01,Mangok Mathiang,2018,25,CHA,4,20,5.0,0.0
1735,holidju01,Justin Holiday,2018,28,CHI,72,2265,31.5,82.3
1736,valende01,Denzel Valentine,2018,24,CHI,77,2095,27.2,74.5
1737,markkla01,Lauri Markkanen,2018,20,CHI,68,2020,29.7,84.3
1738,lopezro01,Robin Lopez,2018,29,CHI,64,1690,26.4,75.6
1739,grantje02,Jerian Grant,2018,25,CHI,74,1686,22.8,74.5
1740,nwabada01,David Nwaba,2018,25,CHI,70,1646,23.5,65.5
1741,portibo01,Bobby Portis,2018,22,CHI,73,1643,22.5,76.9
1742,dunnkr01,Kris Dunn,2018,23,CHI,52,1525,29.3,73.7
1743,feliccr01,Cristiano Felicio,2018,25,CHI,55,977,17.8,66.7
1744,zipsepa01,Paul Zipser,2018,23,CHI,54,824,15.3,76.0
1745,lavinza01,Zach LaVine,2018,22,CHI,24,656,27.3,81.3
1746,mirotni01,Nikola Mirotic,2018,26,CHI,25,622,24.9,82.3
1747,payneca01,Cameron Payne,2018,23,CHI,25,582,23.3,75.0
1748,vonleno01,Noah Vonleh,2018,22,CHI,21,399,19.0,48.1
1749,blakean01,Antonio Blakeney,2018,21,CHI,19,314,16.5,76.9
1750,arcidry01,Ryan Arcidiacono,2018,23,CHI,24,304,12.7,83.3
1751,kilpase01,Sean Kilpatrick,2018,28,CHI,9,214,23.8,81.3
1752,pondequ01,Quincy Pondexter,2018,29,CHI,23,196,8.5,82.4
1753,feldeka01,Kay Felder,2018,22,CHI,14,134,9.6,91.7
1754,asikom01,Omer Asik,2018,31,CHI,4,61,15.3,0.0
1755,eddieja01,Jarell Eddie,2018,26,CHI,1,3,3.0,0.0
1756,jamesle01,LeBron James,2018,33,CLE,82,3026,36.9,73.1
1757,smithjr01,JR Smith,2018,32,CLE,80,2244,28.1,69.6
1758,greenje02,Jeff Green,2018,31,CLE,78,1828,23.4,86.8
1759,loveke01,Kevin Love,2018,29,CLE,59,1651,28.0,88.0
1760,korveky01,Kyle Korver,2018,36,CLE,73,1574,21.6,88.9
1761,crowdja01,Jae Crowder,2018,27,CLE,53,1346,25.4,84.8
1762,thomptr01,Tristan Thompson,2018,26,CLE,53,1072,20.2,54.4
1763,wadedw01,Dwyane Wade,2018,36,CLE,46,1069,23.2,70.1
1764,caldejo01,Jose Calderon,2018,36,CLE,57,914,16.0,80.0
1765,osmande01,Cedi Osman,2018,22,CLE,61,672,11.0,56.5
1766,hillge01,George Hill,2018,31,CLE,24,669,27.9,80.5
1767,clarkjo01,Jordan Clarkson,2018,25,CLE,28,632,22.6,81.0
1768,fryech01,Channing Frye,2018,34,CLE,44,545,12.4,93.3
1769,hoodro01,Rodney Hood,2018,25,CLE,21,532,25.3,81.3
1770,nancela02,Larry Nance Jr.,2018,25,CLE,24,499,20.8,72.0
1771,thomais02,Isaiah Thomas,2018,28,CLE,15,406,27.1,86.8
1772,rosede01,Derrick Rose,2018,29,CLE,16,308,19.3,85.4
1773,shumpim01,Iman Shumpert,2018,27,CLE,14,276,19.7,73.3
1774,zizican01,Ante Zizic,2018,21,CLE,32,214,6.7,72.4
1775,hollajo02,John Holland,2018,29,CLE,24,174,7.3,69.2
1776,perralo01,London Perrantes,2018,23,CLE,14,66,4.7,60.0
1777,perkike01,Kendrick Perkins,2018,33,CLE,1,15,15.0,50.0
1791,barneha02,Harrison Barnes,2018,25,DAL,77,2634,34.2,82.7
1792,ferreyo01,Yogi Ferrell,2018,24,DAL,82,2282,27.8,79.6
1793,matthwe02,Wesley Matthews,2018,31,DAL,63,2131,33.8,82.2
1794,smithde03,Dennis Smith Jr.,2018,20,DAL,69,2049,29.7,69.4
1795,nowitdi01,Dirk Nowitzki,2018,39,DAL,77,1900,24.7,89.8
1796,poweldw01,Dwight Powell,2018,26,DAL,79,1672,21.2,71.9
