artist,song,duration_ms,year,top half,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,explicit,explicity binary
Rihanna,Pon de Replay,246960,2005,1,0.779,0.64,7,-8.415,1,0.159,0.000155,0.00077,0.101,0.498,99.019,"hip hop, pop, R&B",False,0
50 Cent,Candy Shop,209106,2005,1,0.614,0.574,11,-7.961,1,0.466,0.0253,3.2e-05,0.38,0.755,125.173,"hip hop, pop",True,1
James Blunt,You're Beautiful,209493,2005,1,0.675,0.479,0,-9.87,0,0.0278,0.633,1.76e-05,0.088,0.454,81.998,pop,True,1
Green Day,Boulevard of Broken Dreams,261266,2004,1,0.49,0.679,8,-3.68,1,0.0309,0.00394,1.54e-05,0.0383,0.506,167.046,rock,True,1
The Pussycat Dolls,Don't Cha,272080,2005,1,0.875,0.631,1,-3.475,1,0.099,0.00542,2.54e-06,0.127,0.549,120.003,"pop, R&B",False,0
Daniel Powter,Bad Day,233640,2005,1,0.599,0.785,3,-4.013,1,0.0309,0.448,0.00336,0.151,0.52,140.046,pop,False,0
Akon,Bananza (Belly Dancer),238493,2004,0,0.878,0.699,10,-5.897,0,0.132,0.0345,3.37e-06,0.755,0.666,104.838,pop,False,0
Madonna,Hung Up,337733,2005,1,0.649,0.647,9,-7.695,0,0.0452,0.0039,0.161,0.0686,0.405,125.02,pop,False,0
50 Cent,Just A Lil Bit,237706,2005,1,0.489,0.692,1,-6.672,1,0.41,0.0322,0.00608,0.315,0.527,96.946,"hip hop, pop",True,1
Crazy Frog,Axel F,168879,2005,1,0.86,0.907,2,-3.321,1,0.0407,0.279,0.693,0.0648,0.786,138.045,pop,False,0
Eminem,Ass Like That,265480,2004,0,0.646,0.796,2,-6.152,1,0.366,0.409,0.0,0.107,0.676,83.093,hip hop,True,1
Sean Paul,We Be Burnin',213066,2005,1,0.95,0.803,1,-4.195,1,0.151,0.145,0.0,0.0748,0.86,117.0,"hip hop, pop",False,0
Gwen Stefani,Rich Girl,236213,2004,1,0.856,0.754,7,-2.728,0,0.0416,0.0294,1.49e-05,0.206,0.722,98.018,"pop, R&B",False,0
The Chemical Brothers,Galvanize,393813,2005,1,0.745,0.714,7,-3.681,1,0.0751,0.0141,0.0222,0.363,0.365,104.003,Dance/Electronic,False,0
Fort Minor,Remember the Name (feat. Styles of Beyond),230493,2005,1,0.688,0.835,8,-4.162,1,0.0911,0.0583,2.87e-06,0.0795,0.88,84.858,"hip hop, pop, rock",True,1
50 Cent,Disco Inferno,214226,2005,1,0.925,0.659,3,-4.763,1,0.231,0.206,7.88e-05,0.279,0.71,97.018,"hip hop, pop",True,1
The Game,How We Do,235533,2005,1,0.862,0.648,4,-7.401,0,0.251,0.0455,0.0,0.0332,0.637,98.012,"hip hop, pop",True,1
Chris Brown,Run It! (feat. Juelz Santana),229866,2005,1,0.846,0.482,1,-6.721,0,0.129,0.0246,0.0,0.393,0.212,100.969,"hip hop, pop, R&B",False,0
Mariah Carey,It's Like That,203360,2005,0,0.8,0.633,8,-4.875,0,0.0514,0.0901,0.0,0.0315,0.836,95.953,"pop, R&B",False,0
Black Eyed Peas,My Humps,326960,2005,1,0.802,0.682,1,-5.924,0,0.222,0.111,1.39e-05,0.109,0.586,123.95,"hip hop, pop",False,0
Ciara,Oh (feat. Ludacris),256346,2004,1,0.8,0.496,7,-7.135,1,0.0506,0.000298,0.0,0.0697,0.357,128.29,"pop, R&B",False,0
50 Cent,Outta Control - Remix,247506,2005,1,0.772,0.599,8,-5.996,0,0.246,0.0277,0.0,0.0839,0.557,92.029,"hip hop, pop",True,1
Baby Bash,"Baby, I'm Back",219920,2005,0,0.899,0.365,9,-5.461,0,0.105,0.0508,0.0,0.097,0.749,100.01,"hip hop, pop, R&B, latin",True,1
Jennifer Lopez,Get Right,225533,2005,1,0.741,0.759,0,-5.096,0,0.12,0.0218,0.0,0.628,0.362,97.084,"hip hop, pop, R&B",False,0
JAY-Z,Numb / Encore,205733,2004,1,0.687,0.793,2,-4.254,1,0.166,0.0603,0.0,0.582,0.751,107.045,hip hop,True,1
The Game,Hate It Or Love It,206400,2005,1,0.802,0.785,9,-4.781,1,0.207,0.14,0.0,0.123,0.435,99.998,"hip hop, pop",True,1
Gorillaz,Feel Good Inc.,222640,2005,1,0.818,0.705,6,-6.679,1,0.177,0.00836,0.00233,0.613,0.772,138.559,hip hop,False,0
Black Eyed Peas,Don't Phunk With My Heart,239773,2005,1,0.69,0.928,5,-2.76,0,0.061,0.00937,0.0,0.547,0.604,130.889,"hip hop, pop",False,0
Akon,Lonely,235800,2004,0,0.629,0.532,5,-7.88,0,0.0352,0.331,0.0,0.238,0.619,90.098,pop,True,1
Bodyrockers,I Like The Way - Radio Edit,200053,2005,0,0.642,0.851,6,-3.638,1,0.0431,0.0248,0.0146,0.084,0.777,127.988,"rock, Dance/Electronic",False,0
Sugababes,Push The Button,218093,2005,1,0.962,0.66,8,-5.096,1,0.061,0.0485,0.0,0.076,0.814,126.016,"pop, R&B",False,0
